NODE TIMES:	nid	time
	1	121.463
	2	121.463
	3	121.463
	4	121.463
	5	121.463
	6	121.463
	7	121.463
	8	121.463
	9	121.463
	10	121.463
	11	0
	12	0
	13	114.05
	14	102.627
	15	45.4814
	16	39.3979
	17	26.917
	18	21.7087
	19	11.0146
	20	2.23809
	21	0.644716

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 13) 	1 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 15) 	6 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 16) 	7 (16 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 16) 	8 (16 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	4 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 15) 	5 (15 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 13) 	2 (13 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	3 (14 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 17) 	9 (17 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 17) 	10 (17 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	8	13	12	14	0
	eid	type	time
	7	crg	0.619039	90.1995
	7	crl	0.652885	92.977
	7	dup	0.664194	93.9051
	7	del	0.672966	94.625
	7	del	0.710626	97.7156
	7	crl	0.784583	103.785
	7	del	0.884676	111.999
	7	crl	0.884821	112.011
	7	dup	0.890352	112.465
	7	del	0.898696	113.15
	7	crl	0.906663	113.803
	7	crg	0.95025	117.38

MUTATIONS   (4)  dup, deln, crl, crg, wgd:	8	11	12	14	0
	eid	type	time
	18	crl	0.0262296	1.19722
	18	del	0.0967176	2.68198
	18	crg	0.335431	7.71023
	18	crg	0.529493	11.7979
	18	del	0.55161	12.2638
	18	del	0.637487	14.0727
	18	dup	0.645179	14.2348
	18	crl	0.674691	14.8564
	18	dup	0.705452	15.5043
	18	crl	0.733976	16.1052
	18	crg	0.767659	16.8147
	18	dup	0.776688	17.0049
	18	crg	0.79996	17.4951
	18	crl	0.905504	19.7182
	12	crg	0.00481547	21.7939
	12	crl	0.255645	26.2309
	12	crg	0.258448	26.2804
	12	del	0.461217	29.8673
	12	crg	0.738343	34.7694
	12	dup	0.799228	35.8464
	8	dup	0.0740501	45.4748
	8	del	0.0967982	47.3417
	8	crg	0.109685	48.3992
	8	dup	0.209879	56.6217
	8	crg	0.236765	58.8281
	8	dup	0.24536	59.5334
	8	crg	0.287363	62.9804
	8	crg	0.291047	63.2827
	8	dup	0.337132	67.0647
	8	del	0.393912	71.7244
	8	crl	0.398947	72.1375
	8	crl	0.405017	72.6357
	8	del	0.410954	73.1229
	8	del	0.434079	75.0207
	8	crl	0.441795	75.6539
	8	crl	0.505332	80.8681
	8	crl	0.553025	84.7821
	8	crl	0.574901	86.5772
	8	crg	0.586441	87.5243
	8	del	0.596244	88.3288
	8	crg	0.66026	93.5823
	8	del	0.703751	97.1514
	8	crl	0.779744	103.388
	8	del	0.809785	105.853
	8	crg	0.883079	111.868

MUTATIONS   (5)  dup, deln, crl, crg, wgd:	12	11	10	14	0
	eid	type	time
	16	crl	0.0282739	5.07647
	16	crg	0.0407021	6.32412
	16	crl	0.0426608	6.52075
	16	del	0.0648368	8.74696
	16	crg	0.0804579	10.3151
	16	crg	0.0890021	11.1729
	16	dup	0.0939035	11.6649
	16	dup	0.141415	16.4345
	16	crl	0.179785	20.2865
	16	del	0.184565	20.7663
	16	crl	0.223514	24.6764
	16	crg	0.272796	29.6237
	16	dup	0.338226	36.1921
	16	del	0.350763	37.4507
	16	crl	0.356182	37.9947
	16	crg	0.422295	44.6317
	16	dup	0.468102	49.2302
	16	crl	0.475765	49.9994
	16	del	0.498852	52.3171
	16	crg	0.546631	57.1136
	16	del	0.566244	59.0826
	16	dup	0.605384	63.0117
	16	crg	0.624374	64.9181
	16	dup	0.663884	68.8845
	16	crg	0.67199	69.6982
	16	crg	0.680558	70.5584
	16	del	0.688637	71.3694
	16	del	0.74325	76.8519
	16	dup	0.76033	78.5666
	16	del	0.80182	82.7317
	16	crl	0.80492	83.0429
	16	dup	0.814479	84.0025
	16	crl	0.822617	84.8195
	16	dup	0.861209	88.6937
	16	crl	0.906645	93.2549
	16	crg	0.936445	96.2465
	16	crg	0.945349	97.1404
	16	del	0.949429	97.5499
	16	dup	0.954713	98.0804
	16	crg	0.991362	101.76
	4	crg	0.13446	105.159
	4	del	0.205105	106.49
	4	dup	0.261535	107.553
	4	dup	0.56256	113.223
	4	del	0.633938	114.568
	4	crl	0.70602	115.926
	4	crg	0.940453	120.341

MUTATIONS   (6)  dup, deln, crl, crg, wgd:	10	15	5	9	0
	eid	type	time
	15	del	0.189597	3.90209
	15	del	0.920516	10.317
	15	del	0.988642	10.9149
	13	dup	0.102504	14.5476
	13	dup	0.248402	19.5762
	13	crl	0.384103	24.2534
	13	del	0.411873	25.2106
	13	del	0.422565	25.5791
	13	dup	0.50182	28.3108
	13	del	0.574047	30.8002
	13	del	0.619068	32.3519
	13	del	0.627839	32.6542
	13	del	0.669317	34.0838
