NODE TIMES:	nid	time
	1	227.958
	2	227.958
	3	227.958
	4	227.958
	5	227.958
	6	227.958
	7	227.958
	8	227.958
	9	227.958
	10	227.958
	11	0
	12	0
	13	171.04
	14	115.413
	15	38.4064
	16	38.3131
	17	26.0544
	18	14.1942
	19	11.7709
	20	1.03098
	21	0.202118

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 13) 	1 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 17) 	9 (17 -> 16) 	7 (16 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 15) 	5 (15 -> 14) 	3 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 15) 	6 (15 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 17) 	10 (17 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 17) 	9 (17 -> 16) 	8 (16 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 13) 	2 (13 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 15) 	5 (15 -> 14) 	4 (14 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	25	19	20	23	0
	7	dup	0.531113	139.036
	7	del	0.565439	145.546
	7	crl	0.568446	146.116
	7	crl	0.573472	147.069
	7	crl	0.590481	150.295
	7	crg	0.612843	154.536
	7	crl	0.628213	157.451
	7	crl	0.629666	157.726
	7	del	0.630494	157.883
	7	crl	0.63368	158.487
	7	crg	0.639732	159.635
	7	crl	0.645532	160.735
	7	crl	0.657316	162.97
	7	crg	0.665746	164.568
	7	del	0.675866	166.488
	7	crl	0.685681	168.349
	7	crg	0.699394	170.95
	7	crg	0.700294	171.12
	7	crl	0.707024	172.397
	7	dup	0.712459	173.427
	7	crg	0.739404	178.537
	7	del	0.740698	178.783
	7	del	0.743535	179.321
	7	del	0.745146	179.626
	7	del	0.751164	180.768
	7	dup	0.753834	181.274
	7	del	0.757388	181.948
	7	del	0.781736	186.565
	7	del	0.792338	188.576
	7	crl	0.828485	195.431
	7	crl	0.836177	196.89
	7	dup	0.866397	202.621
	7	crg	0.877753	204.775
	7	del	0.908537	210.613
	7	del	0.927067	214.127
	7	crl	0.929212	214.534
	7	crl	0.934211	215.482
	7	crg	0.938694	216.332
	7	crl	0.942418	217.038
	7	crl	0.946765	217.862
	7	dup	0.947052	217.917
	7	dup	0.947444	217.991
	7	del	0.966648	221.633
	7	dup	0.985246	225.16
	7	crl	0.987061	225.504

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	17	19	20	22	1
	eid	type	time
	15	crg	0.365186	4.95304
	15	dup	0.672498	8.25355
	15	crg	0.713251	8.69122
	15	crl	0.827721	9.92062
	13	dup	0.111661	12.0415
	13	crg	0.146758	12.1265
	12	crg	0.227545	19.7036
	12	dup	0.251279	20.2782
	12	crg	0.282736	21.0399
	5	del	0.011799	39.315
	5	del	0.0416043	41.6102
	5	del	0.0558934	42.7105
	5	crg	0.210526	54.6182
	5	crl	0.245113	57.2816
	5	dup	0.302895	61.7312
	5	del	0.304327	61.8415
	5	crg	0.453712	73.345
	5	del	0.539518	79.9526
